M4 logit (natural),M4 logit (balanced),M4 logit (smote),RF (natural),RF (balanced),GBM (natural),XGB (natural),XGB (scale_pos_weight)
0.016952138833416418,0.06817819600437712,0.05048137410675411,0.054718336888241695,0.10550499187914883,0.0063544269031328956,0.022893124632537364,0.01858149580657482
0.21449305941572033,0.4927072152957771,0.5663843718097283,0.20384872805313387,0.4598054318480063,0.24439984050614635,0.25916678830981255,0.616657143831253
0.11098422645715626,0.3339743289128325,0.33080758411617034,0.19565971787017286,0.33786211084154283,0.296849856279975,0.24125561043620108,0.3359010323882103
0.1898722013092347,0.43058870749015926,0.5663495913783534,0.1962316652397324,0.42752955262838743,0.22963918252103505,0.22222267389297484,0.5648836523294449
0.14712523635644015,0.384712739223787,0.45309815570035267,0.09726568336690458,0.333364989038494,0.0880334747850881,0.06422964483499527,0.19998476505279542
0.18802021956443593,0.6041193706964985,0.5094435803367835,0.1876536904361515,0.43003242668524183,0.13577308836286506,0.11359677612781524,0.2985257044434547
0.2218266170521468,0.6701758956092208,0.5500593447394142,0.22505847524077677,0.4900278358026868,0.20485339702628677,0.24955597668886184,0.5202862471342087
0.21937880870701948,0.6661332303830265,0.6012823847123208,0.244625274652097,0.5127001575036422,0.12258082977626446,0.14316331818699837,0.3947826936841011
0.0585043143545693,0.27911076676701696,0.2226173597529384,0.09876475743792375,0.19582217391698836,0.015642215267057658,0.024631048273295163,0.020544868241995574
0.36872293997642613,0.655681855142463,0.7602291452325048,0.47860843882440757,0.7286847396387629,0.8655899846253119,0.7765610694885254,0.9010967671871185
0.3191109268602948,0.6036600965631898,0.7068249965769768,0.42410461709278147,0.677786303793906,0.6353171550160563,0.5085633426904679,0.7843163251876831
0.321565233229954,0.6225839913724611,0.7005813325702748,0.13569786221705754,0.33078676170986177,0.05215261427465647,0.09573702812194824,0.16230956241488456
0.04500651901927527,0.12649232765982021,0.171516636425825,0.13318982810108237,0.24615491705764123,0.08771870421635584,0.12705751284956932,0.21147362366318703
0.09721336350318519,0.4530084323800388,0.299098380457953,0.10828157073274917,0.31319262855584984,0.07965372249912331,0.08539756163954734,0.2861005119979382
0.10176896065848043,0.4490830728986729,0.32857804859239537,0.11243398768752991,0.3189591889781732,0.0921125951230664,0.09270232729613781,0.3077923387289047
0.44538435516174546,0.7125163889738613,0.8531464932450564,0.31154451773909286,0.5645829120596485,0.16964379728802134,0.23670119866728784,0.5327798247337341
0.24266987722274064,0.6997224381900178,0.6098494830331112,0.19432161132182413,0.45223342847765535,0.16771440399101128,0.14904609620571135,0.38189617395401
0.10104620688426244,0.2955213222951397,0.3181862678689116,0.09711533703698608,0.2964559903790755,0.08149848714280603,0.08212946467101574,0.2866272464394569
0.1177885708484655,0.4768147983790838,0.3726711921326403,0.17123128280950298,0.3113470777459196,0.0636667943890395,0.06215041950345039,0.08228925578296184
0.034847866061046354,0.10632221173700991,0.14322319526823055,0.1102033535311336,0.2280223187817152,0.05011555151897586,0.10346544869244098,0.14973900392651557
0.15936163286884147,0.5659455137892941,0.4734669593957568,0.3288682897550194,0.5426929586731,0.35525527152052033,0.41735302805900576,0.7176479220390319
0.12025528914850589,0.5223393517460443,0.3876914598722677,0.23381209341355613,0.4730114389310442,0.32190830079479393,0.3585591923445463,0.6841509893536568
0.1191780695123418,0.4823197768599493,0.3241130168819971,0.06369333425992993,0.20917743882624157,0.052198754053730714,0.05324497614055872,0.16128877624869348
0.17253145310435838,0.41758794329262205,0.4633378432309353,0.11218570120776945,0.3187185158000051,0.11545237365401673,0.13432930484414102,0.3393954083323479
0.2978889647222485,0.5899658757203988,0.7284256667993716,0.19464829307202056,0.46169528108075675,0.20513754414640006,0.17008959949016572,0.4222681909799576
0.023143725758708093,0.09312023927474028,0.06785022066872383,0.057118620992382,0.11004209252154688,0.006835923357480756,0.02182065723463893,0.01887409817427397
0.10814206836311765,0.43953951228090854,0.361058460620579,0.13637555925207234,0.32461332875132926,0.05813134232525842,0.07428101506084203,0.15507575757801534
0.24712453986512722,0.5000542677697843,0.6315756085161013,0.19823920309569226,0.4340661203744193,0.35135514437644694,0.14955571591854094,0.37486808001995087
0.1738198901132521,0.41783205136546886,0.49807112091261646,0.16818386339739555,0.435761096311759,0.2498519724362612,0.22672848179936408,0.5355193048715592
0.11554408169790462,0.28426320732901067,0.3614746716031432,0.09325232995635864,0.23965200906601866,0.08619631975656328,0.0942149491980672,0.26056104712188244
0.04727075022972278,0.2944142872846355,0.13508602395182526,0.06394652764341877,0.16143477176259274,0.023859232022467047,0.018717550905421376,0.06047625644132495
0.16778987164645798,0.3874860746077221,0.47482065812768803,0.17029461001614027,0.33160788649082307,0.46888865748168496,0.2581638403236866,0.6149259582161903
0.26678230153883237,0.552404916808497,0.6894069140272243,0.18781589531942694,0.45084821849388756,0.22523981645128646,0.19808822721242905,0.5196413710713387
0.06526662379368811,0.19676442144997933,0.2224904588531011,0.09233805744387572,0.20217435142011286,0.039312767407906776,0.0646001409739256,0.08499115630984307
0.4625237682221634,0.702413833453791,0.8510679508851471,0.2607240735075219,0.46407812492519485,0.09340887721915409,0.1568826086819172,0.3057575076818466
0.0683449140908747,0.346904896574983,0.2146954035522096,0.09953455482241036,0.18512018448137435,0.0245776067023769,0.040322376415133476,0.05027531376108527
0.21508009745331433,0.4887529880429066,0.561891438258569,0.13595313335678055,0.3621399368511267,0.09974788641725446,0.09709608294069767,0.3090356379747391
0.09528006422553814,0.4316550242731515,0.3086139658727288,0.057285092373573154,0.23344564449802657,0.04492113437125438,0.03749108705669642,0.1174817956984043
0.06857459322047058,0.32675431221208306,0.21828259979068032,0.07259209971813799,0.23863586223515756,0.08150256940521015,0.0552374117076397,0.18059487491846085
0.048962146552798125,0.17358778808775074,0.15033393268608347,0.07411098167838359,0.1709444764427112,0.02470595044801265,0.0392606670036912,0.060889406874775884
